Model Number;Layer Number;Gaussian Noise;Convolutional;Transpose Convolution;Filters;Kernel Size;Max Pooling Applied;Dropout rate;Number of Dense Nodes;Is Final Layer;Activation Function;Loss Function;Optimizer;Batch Size;Learning Rate;Momentum;Epochs;Final Training Accuracy;Final Validation Accuracy;Electron Efficiency;Pion Efficiency;nPions;nElectrons;P range;Scaling Strategy;Dataset Used
M40;2;;TRUE;;34;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,749;0,9;0,0425;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M40;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,749;0,9;0,0425;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M40;4;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,749;0,9;0,0425;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M40;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,749;0,9;0,0425;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M40;6;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,749;0,9;0,0425;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M41;1;;TRUE;TRUE;16;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,739;0,738;0,9;0,0496;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M41;2;;TRUE;;32;3x5;TRUE;0,2;512;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,739;0,738;0,9;0,0496;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M41;3;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,739;0,738;0,9;0,0496;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M41;4;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,739;0,738;0,9;0,0496;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M41;5;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,739;0,738;0,9;0,0496;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;1;;TRUE;TRUE;16;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;2;;TRUE;;32;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;3;;;;;;;;1024;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;4;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;5;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;6;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M42;7;;;;;;;0,2;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,75;0,748;0,9;0,0428;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M43;1;;TRUE;TRUE;16;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,103;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M43;2;;TRUE;;32;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,103;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M43;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,103;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M43;4;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,103;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M43;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,103;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;5;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,103;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;1;;TRUE;TRUE;16;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,000001;;100;0,72;0,71;0,9;0,1562;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;2;;TRUE;;32;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;16;0,0000001;;100;0,715;0,72;0,9;0,1562;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;16;0,0000001;;100;0,715;0,72;0,9;0,1562;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;4;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;16;0,0000001;;100;0,715;0,72;0,9;0,1562;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;16;0,0000001;;100;0,715;0,72;0,9;0,1562;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M44;6;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;16;0,0000001;;100;0,715;0,72;0,9;0,1562;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M45;1;;TRUE;TRUE;16;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,7499;0,7498;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M45;2;;TRUE;;32;3x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,7499;0,7498;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M45;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7499;0,7498;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M45;4;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7499;0,7498;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M45;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7499;0,7498;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M45;6;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7499;0,7498;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;1;;TRUE;TRUE;16;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;2;;TRUE;TRUE;32;3x5;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;3;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;4;;TRUE;;16;3x3;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;5;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;6;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;7;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M46;8;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,7501;0,7499;0,9;0,0395;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M47;1;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,000001;;100;0,725;0,725;0,9;0,1154;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M47;2;;TRUE;;32;3x3;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,000001;;100;0,725;0,725;0,9;0,1154;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M47;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,000001;;100;0,725;0,725;0,9;0,1154;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M47;4;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,000001;;100;0,725;0,725;0,9;0,1154;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M47;5;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,000001;;100;0,725;0,725;0,9;0,1154;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M47;6;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,000001;;100;0,725;0,725;0,9;0,1154;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M48;1;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,735;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M48;2;;TRUE;;32;3x3;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,735;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M48;3;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,735;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M48;4;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,735;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M48;5;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,735;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M48;6;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,735;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M48;7;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,735;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M48;8;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,735;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M49;1;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,735;0,9;0,0454;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M49;2;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,0000001;;100;0,71;0,71;0,9;0,1727;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M49;3;;TRUE;;32;3x3;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,0000001;;100;0,71;0,71;0,9;0,1727;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M49;4;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,71;0,71;0,9;0,1727;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M49;5;;;;;;;0,2;512;;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,71;0,71;0,9;0,1727;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M49;6;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,71;0,71;0,9;0,1727;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M49;7;;;;;;;0,2;256;;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,71;0,71;0,9;0,1727;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M49;8;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,71;0,71;0,9;0,1727;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M49;9;;;;;;;0,2;128;;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,71;0,71;0,9;0,1727;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M49;10;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,0000001;;100;0,71;0,71;0,9;0,1727;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M50;1;;TRUE;;16;8x12;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,738;0,9;0,0583;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M50;2;;TRUE;;16;5x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,738;0,9;0,0583;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M50;3;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,738;0,9;0,0583;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M50;4;;;;;;;0,8;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,738;0,9;0,0583;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M50;5;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,738;0,9;0,0583;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M51;1;;TRUE;;16;8x12;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,737;0,9;0,0592;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M51;2;;TRUE;;16;5x5;TRUE;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,737;0,9;0,0592;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M51;3;;TRUE;;16;3x3;;;;;ReLU;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,737;0,9;0,0592;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M51;4;;;;;;;0,5;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,737;0,9;0,0592;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M51;5;;;;;;;0,5;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,737;0,9;0,0592;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M51;6;;;;;;;0,5;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,737;0,9;0,0592;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M51;7;;;;;;;0,5;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,737;0,9;0,0592;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M51;8;;;;;;;0,5;128;;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,737;0,9;0,0592;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M51;9;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,74;0,737;0,9;0,0592;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M52;1;;TRUE;;16;8x12;;;;;Tanh;Binary Crossentropy;Adam;32;0,00001;;100;0,742;0,735;0,9;0,0531;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M52;2;;TRUE;;16;5x5;TRUE;;;;Tanh;Binary Crossentropy;Adam;32;0,00001;;100;0,742;0,735;0,9;0,0531;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M52;3;;TRUE;;16;3x3;;;;;Tanh;Binary Crossentropy;Adam;32;0,00001;;100;0,742;0,735;0,9;0,0531;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M52;4;;;;;;;0,5;128;;Tanh;Binary Crossentropy;Adam;32;0,00001;;100;0,742;0,735;0,9;0,0531;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M52;5;;;;;;;0,5;128;;Tanh;Binary Crossentropy;Adam;32;0,00001;;100;0,742;0,735;0,9;0,0531;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M52;6;;;;;;;0,5;128;;Tanh;Binary Crossentropy;Adam;32;0,00001;;100;0,742;0,735;0,9;0,0531;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M52;7;;;;;;;0,5;128;;Tanh;Binary Crossentropy;Adam;32;0,00001;;100;0,742;0,735;0,9;0,0531;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M52;8;;;;;;;0,5;128;;Tanh;Binary Crossentropy;Adam;32;0,00001;;100;0,742;0,735;0,9;0,0531;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M52;9;;;;;;;;1;TRUE;Sigmoid;Binary Crossentropy;Adam;32;0,00001;;100;0,742;0,735;0,9;0,0531;;;;;Chamber Gain Corrected, tracks that have 6 tracklets, all electrons and an equal number of pions, scaled as follows: x=x/max(x)
M53;1;;;;;;;;;;;;;;;;;;;;;;;;;
